City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,mareeba,-17.0,145.4333,24.69,87,91,1.89,AU,1712010929
308,loughrea,53.1969,-8.5669,4.87,94,86,2.03,IE,1712010929
309,la foa,-21.7108,165.8276,26.81,63,44,1.33,NC,1712010929
310,kayes,14.0,-11.0,37.24,17,24,2.68,ML,1712010929
311,selfoss,63.9331,-20.9971,-4.42,47,0,11.12,IS,1712010930
312,bonthe,7.5264,-12.505,26.16,90,26,2.78,SL,1712010930
313,geneina,13.45,22.45,25.05,10,100,4.47,SD,1712010930
314,palmer,42.1584,-72.3287,14.01,44,75,1.54,US,1712010721
315,argo,37.6333,22.7333,18.07,41,36,2.17,GR,1712010931
316,awjilah,29.1081,21.2869,25.11,27,0,3.79,LY,1712010367
317,vadso,70.0744,29.7487,-6.51,73,20,10.8,NO,1712010931
318,uturoa,-16.7333,-151.4333,28.22,76,95,8.24,PF,1712010931
319,oroqen zizhiqi,50.5667,123.7167,-5.86,79,53,0.96,CN,1712010932
320,amasya,40.6667,35.8333,11.82,54,12,0.85,TR,1712010932
321,boromo,11.75,-2.9333,34.76,15,100,3.22,BF,1712010932
322,sao jose da coroa grande,-8.8978,-35.1478,27.81,82,80,4.03,BR,1712010932
323,kani keli,-12.9536,45.1033,27.59,74,60,0.8,YT,1712010932
324,yigo village,13.5361,144.8886,27.63,76,40,9.26,GU,1712010933
325,sitia,35.2,26.0986,16.66,60,3,1.27,GR,1712010933
326,cambria,35.5641,-121.0808,23.32,69,0,4.41,US,1712010883
327,puerto santa,-8.9906,-78.6456,22.61,83,94,4.14,PE,1712010365
328,tongchuan,35.0806,109.0897,14.7,95,99,0.79,CN,1712010934
329,padre bernardo,-15.35,-48.5,23.74,86,93,0.71,BR,1712010934
330,wagar,16.1525,36.2032,28.48,19,4,4.55,SD,1712010934
331,san rafael,-34.6177,-68.3301,20.12,28,58,3.12,AR,1712010594
332,flin flon,54.7682,-101.865,-1.09,93,100,2.57,CA,1712010934
333,homer,59.6425,-151.5483,0.98,87,100,10.8,US,1712010935
334,slave lake,55.2834,-114.769,7.99,29,0,8.23,CA,1712010935
335,kargil,34.5667,76.1,-15.29,84,37,1.47,IN,1712010935
336,yeppoon,-23.1333,150.7333,23.88,80,30,4.55,AU,1712010935
337,villa sandino,12.0483,-84.9936,34.65,40,1,7.46,NI,1712010935
338,hengchun,22.0042,120.7439,25.12,80,1,3.33,TW,1712010936
339,ugoofaaru,5.6667,73.0,28.46,72,76,0.61,MV,1712010936
340,mount isa,-20.7333,139.5,24.87,78,72,0.0,AU,1712010936
341,santa elena de uairen,4.6167,-61.1333,24.12,69,97,2.08,VE,1712010937
342,san andres,12.5847,-81.7006,30.01,66,20,3.09,CO,1712010937
343,east london,-33.0153,27.9116,21.36,90,84,1.25,ZA,1712010937
344,arno,60.1167,18.6333,0.44,87,100,8.5,SE,1712010937
345,breves,-1.6822,-50.4803,25.04,96,99,1.52,BR,1712010938
346,rio grande,-32.035,-52.0986,21.06,86,100,10.67,BR,1712010104
347,humaita,-7.5061,-63.0208,24.54,95,100,0.81,BR,1712010938
348,alice springs,-23.7,133.8833,21.79,43,75,2.68,AU,1712010938
349,ola,59.5833,151.2833,-5.63,69,90,4.8,RU,1712010938
350,mar del plata,-38.0023,-57.5575,16.6,75,0,6.26,AR,1712010542
351,mangaratiba,-22.9597,-44.0406,24.48,90,40,1.18,BR,1712010939
352,auki,-8.7676,160.7034,28.91,72,73,0.84,SB,1712010939
353,tanda,26.55,82.65,22.22,24,87,3.73,IN,1712010939
354,acarau,-2.8856,-40.12,26.48,83,74,2.56,BR,1712010940
355,tofol,5.3248,163.0078,28.88,74,75,5.14,FM,1712010940
356,zag,46.9441,99.165,-4.07,39,100,2.1,MN,1712010940
357,nadym,65.5333,72.5167,-12.28,96,71,4.86,RU,1712010940
358,tazacorte,28.629,-17.9293,18.54,85,75,2.06,ES,1712010941
359,la paz,-16.5,-68.15,14.99,57,75,2.57,BO,1712010650
360,happy valley-goose bay,53.3168,-60.3315,2.17,93,100,4.63,CA,1712010941
361,anapa,44.8908,37.3239,11.19,40,0,3.0,RU,1712010941
362,fort st. john,56.2499,-120.8529,9.94,16,75,7.2,CA,1712010666
363,gornozavodsk,58.3758,58.3211,0.28,96,99,3.21,RU,1712010942
364,san antonio de pale,-1.4014,5.6325,28.97,84,92,5.25,GQ,1712010942
